"Area.Code","Area","Months.Code","Months","Element.Code","Element","Unit","Y2018"
2,"Afghanistan",7001,"January",7271,"Temperature change","°C",1.996
3,"Albania",7001,"January",7271,"Temperature change","°C",2.304
4,"Algeria",7001,"January",7271,"Temperature change","°C",1.504
5,"American Samoa",7001,"January",7271,"Temperature change","°C",0.763
6,"Andorra",7001,"January",7271,"Temperature change","°C",3.379
7,"Angola",7001,"January",7271,"Temperature change","°C",0.636
258,"Anguilla",7001,"January",7271,"Temperature change","°C",1.056
30,"Antarctica",7001,"January",7271,"Temperature change","°C",0.757
8,"Antigua and Barbuda",7001,"January",7271,"Temperature change","°C",1.311
9,"Argentina",7001,"January",7271,"Temperature change","°C",0.839
1,"Armenia",7001,"January",7271,"Temperature change","°C",3.544
22,"Aruba",7001,"January",7271,"Temperature change","°C",1.529
10,"Australia",7001,"January",7271,"Temperature change","°C",1.494
11,"Austria",7001,"January",7271,"Temperature change","°C",4.845
52,"Azerbaijan",7001,"January",7271,"Temperature change","°C",2.007
12,"Bahamas",7001,"January",7271,"Temperature change","°C",0.657
13,"Bahrain",7001,"January",7271,"Temperature change","°C",1.347
16,"Bangladesh",7001,"January",7271,"Temperature change","°C",-0.415
14,"Barbados",7001,"January",7271,"Temperature change","°C",0.793
57,"Belarus",7001,"January",7271,"Temperature change","°C",4.307
255,"Belgium",7001,"January",7271,"Temperature change","°C",4.076
15,"Belgium-Luxembourg",7001,"January",7271,"Temperature change","°C",NA
23,"Belize",7001,"January",7271,"Temperature change","°C",0.611
53,"Benin",7001,"January",7271,"Temperature change","°C",0.101
18,"Bhutan",7001,"January",7271,"Temperature change","°C",2.159
19,"Bolivia (Plurinational State of)",7001,"January",7271,"Temperature change","°C",0.51
80,"Bosnia and Herzegovina",7001,"January",7271,"Temperature change","°C",4.068
20,"Botswana",7001,"January",7271,"Temperature change","°C",1.841
21,"Brazil",7001,"January",7271,"Temperature change","°C",1.145
239,"British Virgin Islands",7001,"January",7271,"Temperature change","°C",0.847
26,"Brunei Darussalam",7001,"January",7271,"Temperature change","°C",0.948
27,"Bulgaria",7001,"January",7271,"Temperature change","°C",2.995
233,"Burkina Faso",7001,"January",7271,"Temperature change","°C",-0.069
29,"Burundi",7001,"January",7271,"Temperature change","°C",NA
35,"Cabo Verde",7001,"January",7271,"Temperature change","°C",0.808
115,"Cambodia",7001,"January",7271,"Temperature change","°C",1.398
32,"Cameroon",7001,"January",7271,"Temperature change","°C",0.482
33,"Canada",7001,"January",7271,"Temperature change","°C",2.68
36,"Cayman Islands",7001,"January",7271,"Temperature change","°C",0.306
37,"Central African Republic",7001,"January",7271,"Temperature change","°C",-0.301
39,"Chad",7001,"January",7271,"Temperature change","°C",-0.579
259,"Channel Islands",7001,"January",7271,"Temperature change","°C",2.95
40,"Chile",7001,"January",7271,"Temperature change","°C",0.486
351,"China",7001,"January",7271,"Temperature change","°C",0.654
96,"China, Hong Kong SAR",7001,"January",7271,"Temperature change","°C",1.169
128,"China, Macao SAR",7001,"January",7271,"Temperature change","°C",1.169
41,"China, mainland",7001,"January",7271,"Temperature change","°C",0.654
214,"China, Taiwan Province of",7001,"January",7271,"Temperature change","°C",0.771
42,"Christmas Island",7001,"January",7271,"Temperature change","°C",0.577
43,"Cocos (Keeling) Islands",7001,"January",7271,"Temperature change","°C",0.282
44,"Colombia",7001,"January",7271,"Temperature change","°C",0.686
45,"Comoros",7001,"January",7271,"Temperature change","°C",0.697
46,"Congo",7001,"January",7271,"Temperature change","°C",0.886
47,"Cook Islands",7001,"January",7271,"Temperature change","°C",0.587
48,"Costa Rica",7001,"January",7271,"Temperature change","°C",1.125
107,"Côte d'Ivoire",7001,"January",7271,"Temperature change","°C",1.212
98,"Croatia",7001,"January",7271,"Temperature change","°C",4.293
49,"Cuba",7001,"January",7271,"Temperature change","°C",0.746
50,"Cyprus",7001,"January",7271,"Temperature change","°C",1.372
167,"Czechia",7001,"January",7271,"Temperature change","°C",4.942
51,"Czechoslovakia",7001,"January",7271,"Temperature change","°C",NA
116,"Democratic People's Republic of Korea",7001,"January",7271,"Temperature change","°C",0.044
250,"Democratic Republic of the Congo",7001,"January",7271,"Temperature change","°C",0.53
54,"Denmark",7001,"January",7271,"Temperature change","°C",3.112
72,"Djibouti",7001,"January",7271,"Temperature change","°C",-0.278
55,"Dominica",7001,"January",7271,"Temperature change","°C",1.15
56,"Dominican Republic",7001,"January",7271,"Temperature change","°C",2.235
58,"Ecuador",7001,"January",7271,"Temperature change","°C",0.54
59,"Egypt",7001,"January",7271,"Temperature change","°C",0.875
60,"El Salvador",7001,"January",7271,"Temperature change","°C",0.373
61,"Equatorial Guinea",7001,"January",7271,"Temperature change","°C",0.435
178,"Eritrea",7001,"January",7271,"Temperature change","°C",-0.259
63,"Estonia",7001,"January",7271,"Temperature change","°C",4.203
209,"Eswatini",7001,"January",7271,"Temperature change","°C",0.237
238,"Ethiopia",7001,"January",7271,"Temperature change","°C",0.592
62,"Ethiopia PDR",7001,"January",7271,"Temperature change","°C",NA
65,"Falkland Islands (Malvinas)",7001,"January",7271,"Temperature change","°C",NA
64,"Faroe Islands",7001,"January",7271,"Temperature change","°C",0.419
66,"Fiji",7001,"January",7271,"Temperature change","°C",1.196
67,"Finland",7001,"January",7271,"Temperature change","°C",3.429
68,"France",7001,"January",7271,"Temperature change","°C",3.883
69,"French Guiana",7001,"January",7271,"Temperature change","°C",1.112
70,"French Polynesia",7001,"January",7271,"Temperature change","°C",0.822
71,"French Southern and Antarctic Territories",7001,"January",7271,"Temperature change","°C",1.112
74,"Gabon",7001,"January",7271,"Temperature change","°C",0.641
75,"Gambia",7001,"January",7271,"Temperature change","°C",1.567
73,"Georgia",7001,"January",7271,"Temperature change","°C",2.681
79,"Germany",7001,"January",7271,"Temperature change","°C",4.451
81,"Ghana",7001,"January",7271,"Temperature change","°C",0.926
82,"Gibraltar",7001,"January",7271,"Temperature change","°C",0.573
84,"Greece",7001,"January",7271,"Temperature change","°C",1.416
85,"Greenland",7001,"January",7271,"Temperature change","°C",0.588
86,"Grenada",7001,"January",7271,"Temperature change","°C",1.123
87,"Guadeloupe",7001,"January",7271,"Temperature change","°C",1.123
89,"Guatemala",7001,"January",7271,"Temperature change","°C",-0.061
90,"Guinea",7001,"January",7271,"Temperature change","°C",0.929
175,"Guinea-Bissau",7001,"January",7271,"Temperature change","°C",1.674
91,"Guyana",7001,"January",7271,"Temperature change","°C",0.479
93,"Haiti",7001,"January",7271,"Temperature change","°C",1.446
94,"Holy See",7001,"January",7271,"Temperature change","°C",3.09
95,"Honduras",7001,"January",7271,"Temperature change","°C",0.202
97,"Hungary",7001,"January",7271,"Temperature change","°C",5.033
99,"Iceland",7001,"January",7271,"Temperature change","°C",0.7
100,"India",7001,"January",7271,"Temperature change","°C",0.527
101,"Indonesia",7001,"January",7271,"Temperature change","°C",0.803
102,"Iran (Islamic Republic of)",7001,"January",7271,"Temperature change","°C",2.325
103,"Iraq",7001,"January",7271,"Temperature change","°C",2.683
104,"Ireland",7001,"January",7271,"Temperature change","°C",1.282
264,"Isle of Man",7001,"January",7271,"Temperature change","°C",1.196
105,"Israel",7001,"January",7271,"Temperature change","°C",0.873
106,"Italy",7001,"January",7271,"Temperature change","°C",3.068
109,"Jamaica",7001,"January",7271,"Temperature change","°C",1.105
110,"Japan",7001,"January",7271,"Temperature change","°C",0.402
112,"Jordan",7001,"January",7271,"Temperature change","°C",1.282
108,"Kazakhstan",7001,"January",7271,"Temperature change","°C",-1.633
114,"Kenya",7001,"January",7271,"Temperature change","°C",0.884
83,"Kiribati",7001,"January",7271,"Temperature change","°C",1.169
118,"Kuwait",7001,"January",7271,"Temperature change","°C",2.21
113,"Kyrgyzstan",7001,"January",7271,"Temperature change","°C",0.991
120,"Lao People's Democratic Republic",7001,"January",7271,"Temperature change","°C",1.631
119,"Latvia",7001,"January",7271,"Temperature change","°C",4.016
121,"Lebanon",7001,"January",7271,"Temperature change","°C",1.464
122,"Lesotho",7001,"January",7271,"Temperature change","°C",0.912
123,"Liberia",7001,"January",7271,"Temperature change","°C",1
124,"Libya",7001,"January",7271,"Temperature change","°C",1.25
125,"Liechtenstein",7001,"January",7271,"Temperature change","°C",4.329
126,"Lithuania",7001,"January",7271,"Temperature change","°C",3.955
256,"Luxembourg",7001,"January",7271,"Temperature change","°C",4.802
129,"Madagascar",7001,"January",7271,"Temperature change","°C",0.275
130,"Malawi",7001,"January",7271,"Temperature change","°C",1.658
131,"Malaysia",7001,"January",7271,"Temperature change","°C",0.95
132,"Maldives",7001,"January",7271,"Temperature change","°C",0.327
133,"Mali",7001,"January",7271,"Temperature change","°C",0.362
134,"Malta",7001,"January",7271,"Temperature change","°C",1.782
127,"Marshall Islands",7001,"January",7271,"Temperature change","°C",0.127
135,"Martinique",7001,"January",7271,"Temperature change","°C",1.119
136,"Mauritania",7001,"January",7271,"Temperature change","°C",0.296
137,"Mauritius",7001,"January",7271,"Temperature change","°C",0.378
270,"Mayotte",7001,"January",7271,"Temperature change","°C",0.617
138,"Mexico",7001,"January",7271,"Temperature change","°C",0.457
145,"Micronesia (Federated States of)",7001,"January",7271,"Temperature change","°C",0.405
139,"Midway Island",7001,"January",7271,"Temperature change","°C",NA
140,"Monaco",7001,"January",7271,"Temperature change","°C",3.365
141,"Mongolia",7001,"January",7271,"Temperature change","°C",-1.039
273,"Montenegro",7001,"January",7271,"Temperature change","°C",3.555
142,"Montserrat",7001,"January",7271,"Temperature change","°C",1.311
143,"Morocco",7001,"January",7271,"Temperature change","°C",0.59
144,"Mozambique",7001,"January",7271,"Temperature change","°C",-0.306
28,"Myanmar",7001,"January",7271,"Temperature change","°C",1.273
147,"Namibia",7001,"January",7271,"Temperature change","°C",1.316
148,"Nauru",7001,"January",7271,"Temperature change","°C",NA
149,"Nepal",7001,"January",7271,"Temperature change","°C",-0.864
150,"Netherlands",7001,"January",7271,"Temperature change","°C",3.647
151,"Netherlands Antilles (former)",7001,"January",7271,"Temperature change","°C",1.324
153,"New Caledonia",7001,"January",7271,"Temperature change","°C",1.469
156,"New Zealand",7001,"January",7271,"Temperature change","°C",3.583
157,"Nicaragua",7001,"January",7271,"Temperature change","°C",0.453
158,"Niger",7001,"January",7271,"Temperature change","°C",-0.493
159,"Nigeria",7001,"January",7271,"Temperature change","°C",-0.117
160,"Niue",7001,"January",7271,"Temperature change","°C",NA
161,"Norfolk Island",7001,"January",7271,"Temperature change","°C",1.045
154,"North Macedonia",7001,"January",7271,"Temperature change","°C",2.593
162,"Norway",7001,"January",7271,"Temperature change","°C",1.416
221,"Oman",7001,"January",7271,"Temperature change","°C",0.468
164,"Pacific Islands Trust Territory",7001,"January",7271,"Temperature change","°C",NA
165,"Pakistan",7001,"January",7271,"Temperature change","°C",1.765
180,"Palau",7001,"January",7271,"Temperature change","°C",1.354
299,"Palestine",7001,"January",7271,"Temperature change","°C",0.862
166,"Panama",7001,"January",7271,"Temperature change","°C",1.571
168,"Papua New Guinea",7001,"January",7271,"Temperature change","°C",0.642
169,"Paraguay",7001,"January",7271,"Temperature change","°C",0.082
170,"Peru",7001,"January",7271,"Temperature change","°C",0.502
171,"Philippines",7001,"January",7271,"Temperature change","°C",1.294
172,"Pitcairn Islands",7001,"January",7271,"Temperature change","°C",NA
173,"Poland",7001,"January",7271,"Temperature change","°C",4.441
174,"Portugal",7001,"January",7271,"Temperature change","°C",0.996
177,"Puerto Rico",7001,"January",7271,"Temperature change","°C",1.466
179,"Qatar",7001,"January",7271,"Temperature change","°C",1.182
117,"Republic of Korea",7001,"January",7271,"Temperature change","°C",-0.639
146,"Republic of Moldova",7001,"January",7271,"Temperature change","°C",2.662
182,"Réunion",7001,"January",7271,"Temperature change","°C",0.934
183,"Romania",7001,"January",7271,"Temperature change","°C",3.59
185,"Russian Federation",7001,"January",7271,"Temperature change","°C",2.623
184,"Rwanda",7001,"January",7271,"Temperature change","°C",NA
187,"Saint Helena, Ascension and Tristan da Cunha",7001,"January",7271,"Temperature change","°C",1.678
188,"Saint Kitts and Nevis",7001,"January",7271,"Temperature change","°C",1.311
189,"Saint Lucia",7001,"January",7271,"Temperature change","°C",1.068
190,"Saint Pierre and Miquelon",7001,"January",7271,"Temperature change","°C",1.044
191,"Saint Vincent and the Grenadines",7001,"January",7271,"Temperature change","°C",1.123
244,"Samoa",7001,"January",7271,"Temperature change","°C",0.705
192,"San Marino",7001,"January",7271,"Temperature change","°C",3.656
193,"Sao Tome and Principe",7001,"January",7271,"Temperature change","°C",0.132
194,"Saudi Arabia",7001,"January",7271,"Temperature change","°C",0.823
195,"Senegal",7001,"January",7271,"Temperature change","°C",0.766
272,"Serbia",7001,"January",7271,"Temperature change","°C",4.155
186,"Serbia and Montenegro",7001,"January",7271,"Temperature change","°C",NA
196,"Seychelles",7001,"January",7271,"Temperature change","°C",0.527
197,"Sierra Leone",7001,"January",7271,"Temperature change","°C",1.183
200,"Singapore",7001,"January",7271,"Temperature change","°C",NA
199,"Slovakia",7001,"January",7271,"Temperature change","°C",4.815
198,"Slovenia",7001,"January",7271,"Temperature change","°C",4.971
25,"Solomon Islands",7001,"January",7271,"Temperature change","°C",1.546
201,"Somalia",7001,"January",7271,"Temperature change","°C",0.29
202,"South Africa",7001,"January",7271,"Temperature change","°C",1.285
271,"South Georgia and the South Sandwich Islands",7001,"January",7271,"Temperature change","°C",1.987
277,"South Sudan",7001,"January",7271,"Temperature change","°C",0.225
203,"Spain",7001,"January",7271,"Temperature change","°C",1.435
38,"Sri Lanka",7001,"January",7271,"Temperature change","°C",0.656
276,"Sudan",7001,"January",7271,"Temperature change","°C",-0.708
206,"Sudan (former)",7001,"January",7271,"Temperature change","°C",NA
207,"Suriname",7001,"January",7271,"Temperature change","°C",1.063
260,"Svalbard and Jan Mayen Islands",7001,"January",7271,"Temperature change","°C",9.228
210,"Sweden",7001,"January",7271,"Temperature change","°C",2.23
211,"Switzerland",7001,"January",7271,"Temperature change","°C",4.626
212,"Syrian Arab Republic",7001,"January",7271,"Temperature change","°C",2.447
208,"Tajikistan",7001,"January",7271,"Temperature change","°C",2.43
216,"Thailand",7001,"January",7271,"Temperature change","°C",1.715
176,"Timor-Leste",7001,"January",7271,"Temperature change","°C",0.799
217,"Togo",7001,"January",7271,"Temperature change","°C",0.476
218,"Tokelau",7001,"January",7271,"Temperature change","°C",NA
219,"Tonga",7001,"January",7271,"Temperature change","°C",1.003
220,"Trinidad and Tobago",7001,"January",7271,"Temperature change","°C",1.141
222,"Tunisia",7001,"January",7271,"Temperature change","°C",2.284
223,"Turkey",7001,"January",7271,"Temperature change","°C",2.668
213,"Turkmenistan",7001,"January",7271,"Temperature change","°C",2.403
224,"Turks and Caicos Islands",7001,"January",7271,"Temperature change","°C",NA
227,"Tuvalu",7001,"January",7271,"Temperature change","°C",1.227
226,"Uganda",7001,"January",7271,"Temperature change","°C",0.792
230,"Ukraine",7001,"January",7271,"Temperature change","°C",3.22
225,"United Arab Emirates",7001,"January",7271,"Temperature change","°C",0.013
229,"United Kingdom",7001,"January",7271,"Temperature change","°C",1.315
215,"United Republic of Tanzania",7001,"January",7271,"Temperature change","°C",0.725
231,"United States of America",7001,"January",7271,"Temperature change","°C",1.6
240,"United States Virgin Islands",7001,"January",7271,"Temperature change","°C",0.892
234,"Uruguay",7001,"January",7271,"Temperature change","°C",1.167
228,"USSR",7001,"January",7271,"Temperature change","°C",NA
235,"Uzbekistan",7001,"January",7271,"Temperature change","°C",1.453
155,"Vanuatu",7001,"January",7271,"Temperature change","°C",0.749
236,"Venezuela (Bolivarian Republic of)",7001,"January",7271,"Temperature change","°C",1.169
237,"Viet Nam",7001,"January",7271,"Temperature change","°C",1.03
242,"Wake Island",7001,"January",7271,"Temperature change","°C",1.18
243,"Wallis and Futuna Islands",7001,"January",7271,"Temperature change","°C",1.21
205,"Western Sahara",7001,"January",7271,"Temperature change","°C",0.808
249,"Yemen",7001,"January",7271,"Temperature change","°C",NA
248,"Yugoslav SFR",7001,"January",7271,"Temperature change","°C",NA
251,"Zambia",7001,"January",7271,"Temperature change","°C",2.175
181,"Zimbabwe",7001,"January",7271,"Temperature change","°C",0.686
5000,"World",7001,"January",7271,"Temperature change","°C",1.349
5100,"Africa",7001,"January",7271,"Temperature change","°C",0.67
5101,"Eastern Africa",7001,"January",7271,"Temperature change","°C",0.668
5102,"Middle Africa",7001,"January",7271,"Temperature change","°C",0.275
5103,"Northern Africa",7001,"January",7271,"Temperature change","°C",1.248
5104,"Southern Africa",7001,"January",7271,"Temperature change","°C",1.405
5105,"Western Africa",7001,"January",7271,"Temperature change","°C",0.213
5200,"Americas",7001,"January",7271,"Temperature change","°C",1.48
5203,"Northern America",7001,"January",7271,"Temperature change","°C",2.11
5204,"Central America",7001,"January",7271,"Temperature change","°C",0.471
5206,"Caribbean",7001,"January",7271,"Temperature change","°C",1.2
5207,"South America",7001,"January",7271,"Temperature change","°C",0.914
5300,"Asia",7001,"January",7271,"Temperature change","°C",0.712
5301,"Central Asia",7001,"January",7271,"Temperature change","°C",-0.52
5302,"Eastern Asia",7001,"January",7271,"Temperature change","°C",0.404
5303,"Southern Asia",7001,"January",7271,"Temperature change","°C",1.226
5304,"South-Eastern Asia",7001,"January",7271,"Temperature change","°C",1.105
5305,"Western Asia",7001,"January",7271,"Temperature change","°C",1.464
5400,"Europe",7001,"January",7271,"Temperature change","°C",2.726
5401,"Eastern Europe",7001,"January",7271,"Temperature change","°C",2.733
5402,"Northern Europe",7001,"January",7271,"Temperature change","°C",2.133
5403,"Southern Europe",7001,"January",7271,"Temperature change","°C",2.35
5404,"Western Europe",7001,"January",7271,"Temperature change","°C",4.166
5500,"Oceania",7001,"January",7271,"Temperature change","°C",1.511
5501,"Australia and New Zealand",7001,"January",7271,"Temperature change","°C",1.564
5502,"Melanesia",7001,"January",7271,"Temperature change","°C",0.74
5503,"Micronesia",7001,"January",7271,"Temperature change","°C",0.873
5504,"Polynesia",7001,"January",7271,"Temperature change","°C",0.798
5706,"European Union",7001,"January",7271,"Temperature change","°C",3.153
5801,"Least Developed Countries",7001,"January",7271,"Temperature change","°C",0.462
5802,"Land Locked Developing Countries",7001,"January",7271,"Temperature change","°C",0.116
5803,"Small Island Developing States",7001,"January",7271,"Temperature change","°C",0.848
5815,"Low Income Food Deficit Countries",7001,"January",7271,"Temperature change","°C",0.465
5817,"Net Food Importing Developing Countries",7001,"January",7271,"Temperature change","°C",0.55
5848,"Annex I countries",7001,"January",7271,"Temperature change","°C",2.094
5849,"Non-Annex I countries",7001,"January",7271,"Temperature change","°C",0.811
5873,"OECD",7001,"January",7271,"Temperature change","°C",1.962
